Rn,PAR,fdif,PARdif,PARdir,Ta,Ts,Vpd,RH,Ustar,O3,VWC5,VWC25,VWC50,VWC100,VWC150,VWC200,NEE
-132.3777,49.92669603,50.45592627,-55.7536063,68.3289359,-5.937645789,-17.80418682,254.0577998,-4.530871143,50.65837561,-44.84501704,41.1575548,-170.9950906,101.6732889,-37.0593283,33.64879173,-28.85492901,0.594871042
-8.043580709,-22.17715493,22.72000076,-11.28467583,32.88075741,0.17772706,40.39841303,10.35755254,-5.572359835,-24.75931328,20.70926338,16.57512628,28.7630897,-14.00154333,-59.36680696,-13.58888491,-27.66511131,0.386995189
-278.7719766,339.961538,-29.99767005,62.04027013,123.0203472,-72.41112833,-256.4270457,508.6324775,-34.76884535,259.3900562,-190.7670464,55.42998762,-413.1248817,-12.57483357,-103.0047042,132.2166782,-27.41975881,0.610815475
-58.81362995,150.5505666,-42.45001254,87.92920074,52.15013192,-127.6920745,-46.34601732,370.0136253,-110.7253944,51.45175524,-153.3731102,-81.90774539,-32.04585602,-3.037623359,-90.69288159,-31.79927314,-27.18594144,0.216372326
2.706882066,58.90360727,-22.47069602,62.87810298,-34.61539013,-24.69200459,35.0952707,191.7131715,-85.90970499,-74.50779859,-169.531799,133.9520432,18.69114381,-44.51972561,-4.629452251,71.54757425,-27.05412642,0.098868959
-508.2129128,207.8654299,-21.40086944,-277.6389968,-22.19690625,84.91473377,-114.0754099,490.7587112,146.4212753,15.83693084,-297.7667684,-20.50448282,-319.2587459,261.1083017,68.64733082,176.6186592,-26.71911277,0.545212138
36.31667461,3.110681388,-19.6359873,-20.33481805,-40.03213501,-6.791531632,-31.94577412,-13.44825534,-13.38771726,23.99227816,-1.772615196,21.21181831,12.12457092,-9.713827879,-27.84980394,-58.32262515,-25.86041245,0.429225794
33.741614,91.44480781,-112.6001379,6.784349294,4.737006146,-60.09736128,-23.23826523,401.4720169,-216.6326832,13.96929556,-266.2698462,362.6882867,-190.2170379,-92.68464609,121.9841231,276.9974966,-24.79732517,0.650963943
-46.49767544,39.01146721,-2.147894589,-12.27706637,19.87959217,-39.55323597,-45.51980386,111.3776096,-30.30973769,81.71673309,-102.7098171,-16.68069471,-17.41245677,-31.62469744,-66.25666659,-3.537020181,-24.58928482,0.423162023
-78.65263286,-4.694835145,-25.60606491,-56.26319782,-28.85178357,-18.97035187,-12.26889253,130.180893,3.988913341,12.95910282,-55.39415353,37.74874629,-45.4405725,32.66231952,39.25889388,29.8614647,-24.36460508,0.66909347
-62.23930171,21.24036897,-17.78454259,13.29366097,8.990726526,6.103799335,-13.72489583,61.04429299,-14.17969658,32.44822678,-42.11359249,26.58292623,-25.12139779,7.770471171,-16.52947054,-43.09731262,-23.88669407,0.493356466
-422.0746761,471.0986895,-428.6772664,-277.9367913,822.4411036,-846.3231604,-876.2048146,2672.397385,-790.1167352,1929.858001,-227.3588171,38.49106367,-1455.831507,-141.996159,-208.3278681,454.5060046,-22.76600164,0.26956807
35.12997862,-1.420518186,-27.44958875,-14.28675227,3.51630348,-18.22546347,9.512856288,-36.32033704,19.76786545,0.706339751,-2.02803834,-8.174677309,3.08654062,-0.794618677,-21.53309401,-18.46591678,-22.75386025,0.4172565
-39.11684541,139.9087889,-76.3240668,-2.07151527,-130.1290232,79.29619408,137.4687393,242.6643127,10.52721541,-219.3568259,-471.1776066,285.1476651,55.22206363,70.97342344,-47.95647442,80.18563668,-21.55618001,0.555501128
-109.0724782,41.09629329,-11.75981428,-81.57490398,-13.7200718,-3.970590057,-41.54049932,112.3312194,61.19073852,46.06727545,-78.12323959,6.023315805,-73.94611941,50.31779435,-4.673130769,28.29703413,-21.21738552,0.621227946
-13.6171765,-20.02518265,4.799877803,-36.73509773,17.07692464,0.475083426,28.28813197,-19.98039313,20.43352412,-20.48270012,19.10877779,8.9852969,38.77532762,-12.56598929,-62.91919177,-21.88927337,-20.48996762,0.716830525
-76.28988993,8.299419391,-9.199425066,-40.05956437,-1.223018058,-4.625912071,-19.42637061,71.41164642,26.55754376,8.488222756,-40.72444308,15.31725868,-43.36715596,33.50734794,4.411744254,5.903491489,-19.75463645,0.697465301
-25.4274647,88.04760895,-13.57522279,38.2152042,37.96170261,-29.95904167,-61.38374876,119.5938555,-37.76052315,53.2332742,-44.14172968,13.24998075,-90.48027142,-34.26595739,-42.04761498,17.47491259,-19.74355723,0.425425926
-49.48664769,12.30109629,-3.586206569,-64.77607243,65.09190037,-11.0092218,38.61112861,9.025349649,33.7768486,-8.139046642,-1.713372008,31.50333233,62.88465112,-33.00567255,-111.6264595,-22.4448174,-19.72163088,0.524947958
-5.622445059,-38.66498907,50.46162116,-3.396301288,-83.18710716,32.42073678,-10.22499979,-17.84514256,6.233564225,-49.91773791,39.3967459,-13.10306817,-48.33966568,20.80294395,7.965012919,1.931212717,-19.49799774,0.512737516
-25.17738553,16.13147328,-29.87274555,-19.80127199,14.05375475,-15.31310711,-23.11728434,97.77450668,-5.485641346,53.13404391,-37.7930307,-2.354776867,-48.84904268,18.76119262,-18.0224366,-19.58328258,-19.40257483,0.37893174
